,event_id,home_team_name,away_team_name,event_timezone,event_open_date,event_country_code,event_market_count,competition_name,competition_id,betname,market_name,market_id,market_total_matched,odd,real_odd,odd_type,odd_size,selection_id
16702,31451611,FK Spartaks,FK Riga,GMT,2022-05-14T13:00:00.000Z,LV,24,Latvian Virsliga,12216976,N/A,Over/Under 8.5 Goals,1.199096661,0.0,2.74,2.65,back,65.74,2407529
16702,31451611,FK Spartaks,FK Riga,GMT,2022-05-14T13:00:00.000Z,LV,24,Latvian Virsliga,12216976,N/A,Over/Under 8.5 Goals,1.199096661,0.0,4.6,4.42,back,92.47,2407529
16702,31451611,FK Spartaks,FK Riga,GMT,2022-05-14T13:00:00.000Z,LV,24,Latvian Virsliga,12216976,N/A,Over/Under 8.5 Goals,1.199096661,0.0,1.27,1.26,lay,69.36,2407528
16702,31451611,FK Spartaks,FK Riga,GMT,2022-05-14T13:00:00.000Z,LV,24,Latvian Virsliga,12216976,N/A,Over/Under 8.5 Goals,1.199096661,0.0,1.28,1.27,lay,266.82,2407528
16702,31451611,FK Spartaks,FK Riga,GMT,2022-05-14T13:00:00.000Z,LV,24,Latvian Virsliga,12216976,N/A,Over/Under 8.5 Goals,1.199096661,0.0,1.58,1.55,lay,114.0,2407528
16699,31451611,FK Spartaks,FK Riga,GMT,2022-05-14T13:00:00.000Z,LV,24,Latvian Virsliga,12216976,N/A,Over/Under 5.5 Goals,1.199096672,0.0,2.74,2.65,back,65.74,1485568
16699,31451611,FK Spartaks,FK Riga,GMT,2022-05-14T13:00:00.000Z,LV,24,Latvian Virsliga,12216976,N/A,Over/Under 5.5 Goals,1.199096672,0.0,4.6,4.42,back,62.07,1485568
16699,31451611,FK Spartaks,FK Riga,GMT,2022-05-14T13:00:00.000Z,LV,24,Latvian Virsliga,12216976,N/A,Over/Under 5.5 Goals,1.199096672,0.0,1.28,1.27,lay,223.08,1485567
16699,31451611,FK Spartaks,FK Riga,GMT,2022-05-14T13:00:00.000Z,LV,24,Latvian Virsliga,12216976,N/A,Over/Under 5.5 Goals,1.199096672,0.0,1.58,1.55,lay,114.0,1485567
16699,31451611,FK Spartaks,FK Riga,GMT,2022-05-14T13:00:00.000Z,LV,24,Latvian Virsliga,12216976,N/A,Over/Under 5.5 Goals,1.199096672,0.0,1000.0,950.05,lay,0.12,1485567
